"c1fips","c1geoLat","c1geoLng","c2fips","c2geoLat","c2geoLng","Highway","drivetime","dist"
"18580","27.8005828","-97.396381","41700","29.4241219","-98.4936282","37","7214","230630"
"88886","19","-102.3667","88884","22.6033","-100.4297","35","25222","655808"
"88884","22.6033","-100.4297","88882","25.6667","-100.3","35","15951","446664"
"88882","25.6667","-100.3","29700","27.506407","-99.5075421","35","8531","226897"
"29700","27.506407","-99.5075421","41700","29.4241219","-98.4936282","35","8517","251776"
"41700","29.4241219","-98.4936282","12420","30.267153","-97.7430608","35","4587","127892"
"12420","30.267153","-97.7430608","28660","31.1171194","-97.7277959","35","4453","108990"
"28660","31.1171194","-97.7277959","47380","31.549333","-97.1466695","35","3738","97362"
"47380","31.549333","-97.1466695","19100","32.7801399","-96.8004511","35","5394","153240"
"19100","32.7801399","-96.8004511","36420","35.4675602","-97.5164276","35","11074","330245"
"36420","35.4675602","-97.5164276","48620","37.6888889","-97.3361111","35","8514","260750"
"48620","37.6888889","-97.3361111","45820","39.0558235","-95.6890185","35","7342","224880"
"11","40.406699","-104.993012","24540","40.4233142","-104.7091322","34","1762","31611"
"49620","39.9625984","-76.727745","29540","40.0378755","-76.3055144","30","2085","42804"
"28140","39.0997265","-94.5785667","41140","39.757944","-94.836541","29","3289","89325"
"41140","39.757944","-94.836541","36540","41.2523634","-95.9979883","29","7518","223132"
"36540","41.2523634","-95.9979883","43620","43.5499749","-96.700327","29","10109","299590"
"43620","43.5499749","-96.700327","22020","46.8771863","-96.7898034","29","12828","394223"
"22020","46.8771863","-96.7898034","24220","47.9252568","-97.0328547","29","4567","129596"
"24220","47.9252568","-97.0328547","99994","49.8994","-97.1392","29","9025","233371"
"31180","33.5778631","-101.8551665","11100","35.2219971","-101.8312969","27","6371","199012"
"29740","32.3199396","-106.7636538","10740","35.110703","-106.609991","25","11298","363420"
"10740","35.110703","-106.609991","42140","35.6869752","-105.937799","25","3610","98721"
"42140","35.6869752","-105.937799","39380","38.2544472","-104.6091409","25","14280","455030"
"39380","38.2544472","-104.6091409","17820","38.8338816","-104.8213634","25","2561","71631"
"17820","38.8338816","-104.8213634","19740","39.737567","-104.9847179","25","4143","110111"
"19740","39.737567","-104.9847179","12","40.159984","-104.979279","25","2513","59700"
"12","40.159984","-104.979279","11","40.406699","-104.993012","25","1460","44090"
"11","40.406699","-104.993012","22660","40.5852602","-105.084423","25","1283","27445"
"22660","40.5852602","-105.084423","16940","41.1399814","-104.8202462","25","2840","73956"
"34980","36.1666667","-86.7833333","16860","35.0456297","-85.3096801","24","7200","213246"
"11700","35.5950581","-82.5514869","27740","36.3134397","-82.3534727","23","3688","97903"
"27740","36.3134397","-82.3534727","28700","36.548434","-82.5618186","23","1791","41300"
"18700","44.5645659","-123.2620435","13460","44.0581728","-121.3153096","22","9324","206316"
"19100","32.7801399","-96.8004511","46340","32.3512601","-95.3010624","20","5620","157198"
"46340","32.3512601","-95.3010624","30980","32.5007037","-94.7404891","20","2398","60471"
"30980","32.5007037","-94.7404891","43340","32.5251516","-93.7501789","20","3821","103981"
"43340","32.5251516","-93.7501789","33740","32.5093109","-92.1193012","20","5498","159651"
"33740","32.5093109","-92.1193012","27140","32.2987573","-90.1848103","20","6488","196493"
"27140","32.2987573","-90.1848103","46220","33.2098407","-87.5691735","20","9722","299123"
"46220","33.2098407","-87.5691735","13820","33.5206608","-86.80249","20","3274","94373"
"13820","33.5206608","-86.80249","11500","33.6598257","-85.8316318","20","3778","103204"
"11500","33.6598257","-85.8316318","12060","33.7489954","-84.3879824","20","5416","146463"
"12060","33.7489954","-84.3879824","12260","33.4734978","-82.0105148","20","7979","233375"
"12260","33.4734978","-82.0105148","17900","34.0007104","-81.0348144","20","4495","122481"
"17900","34.0007104","-81.0348144","22500","34.1954331","-79.7625625","20","4913","133324"
"22500","34.1954331","-79.7625625","34820","33.6890603","-78.8866943","20","5170","108811"
"38060","33.4483771","-112.0740373","13","34.32756","-112.121186","17","3568","103918"
"13","34.32756","-112.121186","22380","35.2013516","-111.639249","17","4468","132473"
"14740","47.5673202","-122.6329356","42660","47.6062095","-122.3320708","16","4298","104929"
"40140","33.9533487","-117.3961564","29820","36.114646","-115.172816","15","11852","374942"
